model,parameter_count,noise_std,K,rmse,mae
rnn,16273,0.0,1,0.09883342410381185,0.06362283589517004
rnn,16273,0.0,3,0.09881756761747687,0.06369427626174065
rnn,16273,0.0,5,0.09878964181859981,0.06379745832378585
rnn,16273,0.01,1,0.09884519858818974,0.0636425408264165
rnn,16273,0.01,3,0.0988288415952239,0.06371413786850784
rnn,16273,0.01,5,0.0988004962739503,0.06381879417964652
rnn,16273,0.02,1,0.09887663795504086,0.06370939342896506
rnn,16273,0.02,3,0.09886141273453299,0.06378249318641697
rnn,16273,0.02,5,0.09883512944831724,0.06388692013865988
rnn,16273,0.05,1,0.09903586912288756,0.06403598507886676
rnn,16273,0.05,3,0.09905290229501106,0.06416920113182134
rnn,16273,0.05,5,0.09903862656012936,0.06428566813048874
lstm,57169,0.0,1,0.10063052057132607,0.06758575403361304
lstm,57169,0.0,3,0.10067069136947197,0.06774244269545725
lstm,57169,0.0,5,0.10077002385221934,0.06801016120024313
lstm,57169,0.01,1,0.10063511087140695,0.06758891322474628
lstm,57169,0.01,3,0.10067516970337825,0.06774558157337324
lstm,57169,0.01,5,0.10077577037023912,0.06801652365154856
lstm,57169,0.02,1,0.10065384613662035,0.06761631751313099
lstm,57169,0.02,3,0.100690231571741,0.067767322546044
lstm,57169,0.02,5,0.10079013511710933,0.06803620690919375
lstm,57169,0.05,1,0.10073086025326566,0.06768830875811252
lstm,57169,0.05,3,0.100783542004153,0.06786126659492309
lstm,57169,0.05,5,0.10089012497786926,0.06813620923861541
gru,43537,0.0,1,0.09870458985429226,0.06295985366594466
gru,43537,0.0,3,0.098647791323509,0.06297230374013474
gru,43537,0.0,5,0.09856656784093501,0.06297597708547974
gru,43537,0.01,1,0.09871110814158704,0.06296963612268931
gru,43537,0.01,3,0.09865401701607339,0.06298350694987365
gru,43537,0.01,5,0.0985737287738839,0.06298886908396788
gru,43537,0.02,1,0.09873185099806704,0.06301198904183312
gru,43537,0.02,3,0.098672868722517,0.06301992538650592
gru,43537,0.02,5,0.09859270348642671,0.06302587478697015
gru,43537,0.05,1,0.09882102815690609,0.06318936164870625
gru,43537,0.05,3,0.09877755917215164,0.06323107191750094
gru,43537,0.05,5,0.09870632932515425,0.06324793750826817
lnn,13265,0.0,1,0.09880329815545447,0.0631525377189218
lnn,13265,0.0,3,0.09875112164267978,0.06317198571958901
lnn,13265,0.0,5,0.09868204287053223,0.06319271309819406
lnn,13265,0.01,1,0.0988086594550026,0.06316127846391278
lnn,13265,0.01,3,0.09875675987150447,0.06318212819996083
lnn,13265,0.01,5,0.09868808988980711,0.06320468669865052
lnn,13265,0.02,1,0.09882582898132235,0.06318960984938349
lnn,13265,0.02,3,0.09877070808622046,0.06320736304599796
lnn,13265,0.02,5,0.0987034990245666,0.06323007327840519
lnn,13265,0.05,1,0.09891579887008439,0.06335610151254743
lnn,13265,0.05,3,0.09886609045814525,0.06339111193628982
lnn,13265,0.05,5,0.09880511383901913,0.06342258401660666
